Simulation;Final_Balance;Return_%;Max_Drawdown_%;Win_Rate_%;Winning_Trades;Max_Win_Streak;Max_Loss_Streak;Max_TTR
1;13634,9760;36,3498;7,0739;66,0000;66;9;3;32
2;11927,0389;19,2704;6,0286;59,0000;59;6;5;46
3;13201,3410;32,0134;6,6983;64,0000;64;7;5;26
4;13981,4976;39,8150;4,8875;67,0000;67;9;3;21
5;12427,0335;24,2703;3,9155;61,0000;61;6;3;13
6;11904,7038;19,0470;4,9298;59,0000;59;7;3;23
7;13710,7330;37,1073;5,0015;66,0000;66;10;4;22
8;13714,2459;37,1425;2,9701;66,0000;66;8;3;11
9;13125,8936;31,2589;5,9971;64,0000;64;9;4;26
10;14275,7627;42,7576;4,9010;68,0000;68;9;5;23
11;15027,5271;50,2753;3,0580;71,0000;71;11;3;10
12;16455,1282;64,5513;3,0609;75,0000;75;16;3;14
13;13818,6022;38,1860;3,9942;66,0000;66;7;3;14
14;11877,4508;18,7745;6,8275;59,0000;59;8;7;16
15;14855,4867;48,5549;2,9701;70,0000;70;10;3;8
16;12327,9471;23,2795;5,9225;61,0000;61;6;6;18
17;15129,2938;51,2929;2,1030;71,0000;71;8;2;9
18;14177,4883;41,7749;3,9643;68,0000;68;11;3;16
19;13688,5030;36,8850;4,9010;66,0000;66;12;5;12
20;12153,8866;21,5389;3,2722;60,0000;60;6;3;38
21;11647,0118;16,4701;9,9000;58,0000;58;7;4;52
22;11418,5520;14,1855;3,0805;57,0000;57;6;3;22
23;11648,7988;16,4880;5,8830;58,0000;58;9;4;31
24;15524,4486;55,2445;2,9701;72,0000;72;8;3;7
25;13360,3491;33,6035;5,0130;65,0000;65;6;4;23
26;12975,5774;29,7558;3,0489;63,0000;63;8;3;13
27;11969,5783;19,6958;3,9317;59,0000;59;7;3;17
28;14861,3680;48,6137;3,9602;70,0000;70;9;4;12
29;14198,0101;41,9801;2,9513;68,0000;68;9;2;11
30;14293,5228;42,9352;3,9185;68,0000;68;11;3;13
31;13921,3533;39,2135;4,8678;67,0000;67;10;4;17
32;11423,9587;14,2396;8,7383;57,0000;57;7;7;69
33;13216,0864;32,1609;6,0055;64,0000;64;15;4;27
34;14110,0434;41,1004;3,9404;67,0000;67;11;4;14
35;13978,5704;39,7857;4,0863;67,0000;67;10;4;14
36;11664,6403;16,6464;5,8704;58,0000;58;6;5;20
37;14072,1042;40,7210;3,9404;67,0000;67;17;4;12
38;14237,3034;42,3730;4,9387;68,0000;68;6;5;15
39;10141,8873;1,4189;6,8188;51,0000;51;7;4;56
40;13781,3575;37,8136;3,9651;66,0000;66;9;4;13
41;12113,3867;21,1339;3,9972;60,0000;60;8;3;25
42;14330,5243;43,3052;3,9404;68,0000;68;12;4;23
43;12209,9902;22,0999;4,9899;60,0000;60;5;4;34
44;12846,3997;28,4640;4,8999;63,0000;63;6;3;22
45;10951,6994;9,5170;8,9109;55,0000;55;5;6;60
46;15690,2918;56,9029;2,9701;73,0000;73;8;3;8
47;14148,6611;41,4866;3,9259;67,0000;67;13;3;13
48;12115,5719;21,1557;2,1294;60,0000;60;4;2;8
49;12608,5314;26,0853;6,7970;62,0000;62;6;5;28
50;13168,2410;31,6824;5,0477;64,0000;64;9;3;24
51;12945,8347;29,4583;3,0408;63,0000;63;6;3;14
52;14000,0888;40,0009;2,9701;67,0000;67;11;3;9
53;12477,6751;24,7768;4,9020;61,0000;61;8;4;14
54;12927,5800;29,2758;5,0144;63,0000;63;8;5;20
55;13381,9752;33,8198;4,8086;65,0000;65;8;4;11
56;12358,3804;23,5838;5,0179;61,0000;61;9;3;22
57;15812,1011;58,1210;3,9404;73,0000;73;11;4;22
58;13690,7459;36,9075;3,0827;66,0000;66;7;3;16
59;12630,0025;26,3000;5,9786;62,0000;62;9;6;36
60;14345,2413;43,4524;3,9404;68,0000;68;22;4;19
61;14891,8117;48,9181;4,9010;70,0000;70;9;5;18
62;12510,4509;25,1045;5,0517;61,0000;61;8;5;24
63;12905,9680;29,0597;4,1223;63,0000;63;8;3;22
64;15486,0587;54,8606;4,9205;72,0000;72;12;3;17
65;15168,8859;51,6889;2,1588;71,0000;71;6;2;8
66;13705,8995;37,0590;3,9824;66,0000;66;9;4;18
67;12739,3443;27,3934;4,9407;62,0000;62;8;4;25
68;13154,5481;31,5455;5,2218;64,0000;64;11;5;30
69;14515,7046;45,1570;3,9987;69,0000;69;11;3;13
70;13486,7405;34,8674;4,9541;65,0000;65;11;4;20
71;13672,6118;36,7261;4,9311;66,0000;66;16;3;17
72;13989,7826;39,8978;7,7087;67,0000;67;6;4;22
73;13841,9590;38,4196;4,0379;66,0000;66;10;3;39
74;12381,4236;23,8142;5,0033;61,0000;61;7;3;34
75;14546,2289;45,4623;7,7488;69,0000;69;12;5;22
76;13982,0132;39,8201;4,0352;67,0000;67;13;4;30
77;13877,1431;38,7714;4,9010;67,0000;67;8;5;13
78;13119,2976;31,1930;5,9583;64,0000;64;6;4;15
79;13969,1617;39,6916;2,9701;67,0000;67;6;3;8
80;11897,6550;18,9766;4,9070;59,0000;59;6;4;22
81;16021,6481;60,2165;1,9900;74,0000;74;6;2;8
82;14566,2622;45,6626;3,0051;69,0000;69;8;3;18
83;11460,2890;14,6029;9,6344;57,0000;57;7;7;36
84;14885,5734;48,8557;3,0484;70,0000;70;11;3;12
85;12631,8213;26,3182;6,8248;62,0000;62;11;4;27
86;14291,4221;42,9142;4,9772;68,0000;68;7;3;19
87;13181,4272;31,8143;3,9404;64,0000;64;7;4;8
88;15174,2328;51,7423;4,0317;71,0000;71;13;4;10
89;13702,3128;37,0231;5,9001;66,0000;66;12;5;14
90;14501,2843;45,0128;3,9535;69,0000;69;17;3;24
91;15199,7876;51,9979;4,9293;71,0000;71;10;3;12
92;14159,9860;41,5999;4,0117;68,0000;68;10;4;16
93;15462,7659;54,6277;3,8946;72,0000;72;10;3;12
94;13744,9268;37,4493;3,9489;66,0000;66;8;3;12
95;14566,6540;45,6665;4,9553;69,0000;69;11;3;14
96;13131,4873;31,3149;4,9010;64,0000;64;15;5;26
97;12420,9603;24,2096;4,1050;61,0000;61;11;3;14
98;15835,9579;58,3596;3,9404;73,0000;73;7;4;7
99;14618,6576;46,1866;2,9987;69,0000;69;9;3;12
100;13162,6242;31,6262;3,9399;64,0000;64;8;3;18
101;13089,2399;30,8924;3,9788;64,0000;64;15;4;14
102;11918,2340;19,1823;7,8749;59,0000;59;10;7;31
103;16782,3954;67,8240;2,9701;76,0000;76;15;3;8
104;14511,4515;45,1145;2,9749;69,0000;69;14;3;9
105;14554,5028;45,5450;2,9592;69,0000;69;10;2;14
106;14003,7647;40,0376;3,0661;67,0000;67;6;3;10
107;12218,7136;22,1871;3,8838;60,0000;60;6;3;17
108;15096,3330;50,9633;3,9404;71,0000;71;10;4;8
109;10491,5057;4,9151;10,1519;53,0000;53;3;6;47
110;12372,8296;23,7283;6,8258;61,0000;61;9;5;30
111;13384,3875;33,8439;5,8250;65,0000;65;9;4;16
112;12643,6670;26,4367;4,1749;62,0000;62;7;4;30
113;12677,5628;26,7756;3,9648;62,0000;62;7;4;10
114;12719,4996;27,1950;4,0378;62,0000;62;12;4;21
115;13216,3031;32,1630;3,9887;64,0000;64;6;3;8
116;14010,3372;40,1034;3,9404;67,0000;67;8;4;10
117;12305,3022;23,0530;5,8590;60,0000;60;7;5;19
118;14007,7298;40,0773;4,8113;67,0000;67;10;3;18
119;12221,3767;22,2138;4,9010;60,0000;60;7;5;26
120;14243,2478;42,4325;3,9404;68,0000;68;7;4;10
121;14339,2369;43,3924;5,0680;68,0000;68;15;5;22
122;13221,8882;32,2189;9,5839;64,0000;64;12;6;30
123;12982,7264;29,8273;5,8782;63,0000;63;13;5;19
124;14886,1905;48,8619;4,9533;70,0000;70;11;3;16
125;13710,1042;37,1010;4,9149;66,0000;66;6;4;17
126;13122,0656;31,2207;5,9541;64,0000;64;13;4;20
127;13466,8927;34,6689;4,0059;65,0000;65;11;3;15
128;12865,1360;28,6514;6,8804;63,0000;63;8;6;22
129;14573,7426;45,7374;3,0497;69,0000;69;12;2;34
130;14864,9391;48,6494;4,9010;70,0000;70;7;5;13
131;10998,3096;9,9831;7,7926;55,0000;55;8;6;28
132;12070,3627;20,7036;3,9936;60,0000;60;7;3;19
133;15483,9127;54,8391;2,9780;72,0000;72;10;3;8
134;13498,6986;34,9870;3,9404;65,0000;65;12;4;25
135;14608,8757;46,0888;2,9701;69,0000;69;10;3;8
136;14340,0245;43,4002;3,9910;68,0000;68;7;4;12
137;14686,5639;46,8656;5,8702;70,0000;70;10;5;24
138;13216,4125;32,1641;4,9311;64,0000;64;12;5;32
139;13390,3391;33,9034;5,8892;65,0000;65;10;3;30
140;13121,2051;31,2121;4,9882;64,0000;64;7;3;28
141;12560,2311;25,6023;3,8964;62,0000;62;6;3;25
142;14450,7558;44,5076;3,9819;69,0000;69;7;4;18
143;10114,4703;1,1447;6,0064;51,0000;51;4;4;41
144;13501,6221;35,0162;5,8520;65,0000;65;7;6;16
145;13532,6703;35,3267;4,9611;65,0000;65;6;4;11
146;15484,5647;54,8456;4,8947;72,0000;72;7;3;18
147;13153,6813;31,5368;4,8244;64,0000;64;10;4;29
148;12909,0604;29,0906;3,9404;63,0000;63;5;4;14
149;12398,9020;23,9890;4,8834;61,0000;61;11;4;41
150;13359,9225;33,5992;2,9984;65,0000;65;16;3;14
151;12919,8859;29,1989;4,0137;63,0000;63;10;4;30
152;12401,1096;24,0111;5,8775;61,0000;61;8;4;30
153;13366,7836;33,6678;4,9788;65,0000;65;6;3;16
154;11423,9631;14,2396;9,8095;57,0000;57;7;7;50
155;13774,2051;37,7421;3,9404;66,0000;66;13;4;9
156;14666,4811;46,6648;3,0457;69,0000;69;7;3;11
157;11302,2819;13,0228;7,7454;56,0000;56;5;7;40
158;14214,4256;42,1443;5,1396;68,0000;68;10;3;40
159;11946,5644;19,4656;4,9154;59,0000;59;9;5;16
160;13486,9529;34,8695;2,9796;65,0000;65;9;3;11
161;14227,3268;42,2733;2,9701;68,0000;68;8;3;10
162;13742,0275;37,4203;6,0475;66,0000;66;14;5;38
163;14508,0760;45,0808;2,1182;69,0000;69;14;2;12
164;12739,6530;27,3965;4,9563;62,0000;62;7;4;14
165;14960,9332;49,6093;3,0083;70,0000;70;9;2;13
166;12868,5046;28,6850;8,6494;63,0000;63;19;6;32
167;14017,9486;40,1795;3,9404;67,0000;67;9;4;11
168;13368,2105;33,6821;5,8584;65,0000;65;8;4;26
169;12407,2780;24,0728;5,0071;61,0000;61;10;4;15
170;14515,2348;45,1523;3,0716;69,0000;69;18;3;14
171;11890,0087;18,9001;6,8727;59,0000;59;12;4;48
172;14516,9561;45,1696;5,8520;69,0000;69;9;6;16
173;11475,8186;14,7582;11,6401;57,0000;57;10;5;72
174;15370,8036;53,7080;3,0677;72,0000;72;9;3;18
175;14560,8609;45,6086;4,9619;69,0000;69;9;5;18
176;11706,0156;17,0602;4,1340;58,0000;58;5;4;18
177;12166,4813;21,6648;5,1175;60,0000;60;8;3;36
178;13124,5181;31,2452;3,9404;64,0000;64;10;4;24
179;14249,7372;42,4974;4,0931;68,0000;68;12;4;22
180;12873,0243;28,7302;5,0035;63,0000;63;7;4;24
181;14529,7809;45,2978;3,9930;69,0000;69;7;3;18
182;12536,4822;25,3648;5,8161;62,0000;62;6;5;14
183;12676,9621;26,7696;4,9010;62,0000;62;8;5;22
184;13511,7321;35,1173;4,9152;65,0000;65;7;4;19
185;13745,8140;37,4581;4,9273;66,0000;66;10;4;20
186;14567,2430;45,6724;6,0796;69,0000;69;10;4;20
187;15490,5590;54,9056;4,9010;72,0000;72;8;5;16
188;12910,6969;29,1070;5,8496;63,0000;63;7;4;34
189;16378,4083;63,7841;2,9701;75,0000;75;11;3;6
190;11392,4164;13,9242;5,8448;57,0000;57;6;4;26
191;12902,3893;29,0239;5,8877;63,0000;63;5;6;27
192;15809,0659;58,0907;2,9494;73,0000;73;9;2;12
193;14024,5637;40,2456;4,0582;67,0000;67;11;4;12
194;13794,4182;37,9442;3,0124;66,0000;66;10;3;16
195;14917,3490;49,1735;3,0531;70,0000;70;10;3;16
196;13642,3578;36,4236;5,0200;66,0000;66;9;5;12
197;12162,4114;21,6241;6,9059;60,0000;60;12;5;59
198;13271,0042;32,7100;5,8430;64,0000;64;8;3;23
199;14185,8653;41,8587;4,0165;68,0000;68;9;3;15
200;11922,8325;19,2283;6,9280;59,0000;59;11;4;26
201;15470,0561;54,7006;5,8520;72,0000;72;15;6;21
202;14516,2787;45,1628;4,9396;69,0000;69;7;4;18
203;14239,3164;42,3932;6,0043;68,0000;68;10;6;22
204;11928,6540;19,2865;5,0629;59,0000;59;6;5;20
205;14263,5350;42,6354;2,9910;68,0000;68;16;3;18
206;12688,9352;26,8894;4,9633;62,0000;62;7;3;21
207;14777,1454;47,7715;2,9798;70,0000;70;6;3;10
208;11452,4716;14,5247;5,8516;57,0000;57;11;4;24
209;11865,1166;18,6512;5,9259;59,0000;59;5;5;32
210;12852,4272;28,5243;4,9954;63,0000;63;7;4;18
211;12105,7820;21,0578;4,1571;60,0000;60;7;4;21
212;14617,5927;46,1759;5,8750;69,0000;69;11;4;17
213;15095,7346;50,9573;1,9900;71,0000;71;8;2;6
214;11730,6241;17,3062;6,7457;58,0000;58;13;6;30
215;12100,2138;21,0021;3,8558;60,0000;60;11;3;12
216;12902,8639;29,0286;4,8937;63,0000;63;6;4;16
217;13102,8298;31,0283;5,8798;64,0000;64;14;4;24
218;14542,5570;45,4256;5,2147;69,0000;69;8;4;26
219;11843,4811;18,4348;3,1577;59,0000;59;9;3;26
220;12863,8332;28,6383;3,9099;63,0000;63;10;3;20
221;11898,9124;18,9891;4,2885;59,0000;59;7;4;42
222;12360,9095;23,6091;3,9493;61,0000;61;7;4;18
223;14256,2266;42,5623;3,1575;68,0000;68;10;2;12
224;12410,8982;24,1090;4,0557;61,0000;61;10;3;36
225;11894,5194;18,9452;6,7983;59,0000;59;7;5;49
226;13705,2578;37,0526;3,9404;66,0000;66;6;4;11
227;14175,7555;41,7576;3,9404;68,0000;68;11;4;10
228;12218,0411;22,1804;5,1254;60,0000;60;8;3;25
229;13122,0945;31,2209;4,9452;64,0000;64;10;3;12
230;12876,0225;28,7602;3,1610;63,0000;63;8;3;16
231;12070,7202;20,7072;4,1636;60,0000;60;14;3;20
232;15484,4474;54,8445;2,9701;72,0000;72;8;3;12
233;12959,6616;29,5966;4,0637;63,0000;63;7;3;27
234;15816,4087;58,1641;3,0221;73,0000;73;20;3;10
235;11478,6811;14,7868;6,8246;57,0000;57;12;4;28
236;14782,9037;47,8290;3,9805;70,0000;70;12;3;12
237;11973,5531;19,7355;4,9783;59,0000;59;6;4;29
238;12332,4997;23,3250;7,7572;61,0000;61;10;5;21
239;11676,9817;16,7698;6,9020;58,0000;58;7;5;26
240;14039,4113;40,3941;4,0121;67,0000;67;9;4;18
241;14252,7428;42,5274;4,0356;68,0000;68;7;4;20
242;13461,9214;34,6192;2,9999;65,0000;65;6;3;12
243;12871,1348;28,7113;4,9255;63,0000;63;10;5;26
244;13477,7174;34,7772;2,9701;65,0000;65;10;3;18
245;13708,6975;37,0870;3,0103;66,0000;66;10;3;12
246;13099,8033;30,9980;5,8613;64,0000;64;7;5;18
247;14010,9073;40,1091;4,8922;67,0000;67;9;4;20
248;14204,1779;42,0418;3,9428;68,0000;68;10;4;16
249;14595,3235;45,9532;4,0389;69,0000;69;9;4;16
250;12201,2845;22,0128;5,8520;60,0000;60;6;6;24
251;14246,8856;42,4689;3,9404;68,0000;68;7;4;8
252;14872,6547;48,7265;4,8255;70,0000;70;7;4;16
253;14640,0200;46,4002;4,0134;69,0000;69;12;3;16
254;15013,0024;50,1300;3,9404;71,0000;71;13;4;12
255;15742,0287;57,4203;3,9624;73,0000;73;9;3;14
256;15061,6826;50,6168;3,0411;71,0000;71;13;3;20
257;15086,2068;50,8621;4,0559;71,0000;71;14;4;22
258;12243,0531;22,4305;3,9633;60,0000;60;7;4;12
259;13199,8766;31,9988;4,0953;64,0000;64;9;3;17
260;13747,5812;37,4758;4,9289;66,0000;66;18;4;38
261;12920,5103;29,2051;6,8476;63,0000;63;14;6;30
262;12101,7808;21,0178;4,0990;60,0000;60;4;4;32
263;13796,3665;37,9637;3,9404;66,0000;66;6;4;10
264;14051,7555;40,5176;3,0265;67,0000;67;8;3;18
265;14819,0968;48,1910;3,0719;70,0000;70;14;3;10
266;12892,6547;28,9265;8,6483;63,0000;63;10;9;22
267;13476,7025;34,7670;6,0618;65,0000;65;12;3;38
268;13187,3601;31,8736;3,9404;64,0000;64;8;4;17
269;11481,0275;14,8103;4,9010;57,0000;57;5;5;20
270;12661,9096;26,6191;4,9523;62,0000;62;8;4;22
271;13190,6484;31,9065;3,9404;64,0000;64;19;4;16
272;12383,5209;23,8352;4,8140;61,0000;61;6;4;30
273;13246,3415;32,4634;2,9701;64,0000;64;7;3;8
274;13655,9938;36,5599;3,9404;66,0000;66;14;4;18
275;13128,8626;31,2886;6,9164;64,0000;64;10;5;25
276;11681,4220;16,8142;5,9360;58,0000;58;10;6;46
277;13942,0040;39,4200;4,9010;67,0000;67;10;5;16
278;11605,4661;16,0547;4,9010;58,0000;58;6;5;16
279;14597,4260;45,9743;4,8589;69,0000;69;10;4;20
280;13192,3187;31,9232;9,6561;64,0000;64;6;9;34
281;12908,6201;29,0862;6,8460;63,0000;63;9;4;32
282;15501,2346;55,0123;3,9923;72,0000;72;13;3;11
283;12385,4578;23,8546;6,7935;61,0000;61;6;7;34
284;13451,6734;34,5167;8,9019;65,0000;65;9;6;30
285;12941,4758;29,4148;4,8280;63,0000;63;9;4;12
286;16361,3794;63,6138;2,0866;75,0000;75;9;2;8
287;13921,3225;39,2132;2,2383;67,0000;67;10;2;12
288;13993,4653;39,9347;2,9701;67,0000;67;8;3;10
289;17346,7258;73,4673;2,9728;78,0000;78;11;2;12
290;13122,0602;31,2206;5,8307;64,0000;64;7;4;24
291;12387,5655;23,8757;4,9633;61,0000;61;6;4;20
292;12169,7839;21,6978;4,9170;60,0000;60;5;4;26
293;12895,2304;28,9523;7,7214;63,0000;63;8;5;36
294;11938,4205;19,3842;6,7343;59,0000;59;7;4;23
295;12912,4557;29,1246;3,3319;63,0000;63;8;3;22
296;16348,0260;63,4803;4,9010;75,0000;75;11;5;14
297;13611,3427;36,1134;6,7484;66,0000;66;13;6;24
298;13231,3694;32,3137;10,3116;64,0000;64;10;7;52
299;13655,1089;36,5511;4,0803;66,0000;66;10;4;18
300;11701,6876;17,0169;5,0508;58,0000;58;7;4;32
301;13999,4387;39,9944;4,9366;67,0000;67;12;4;20
302;12698,7632;26,9876;7,7312;62,0000;62;6;7;31
303;13732,9222;37,3292;7,7663;66,0000;66;7;5;28
304;14543,2322;45,4323;4,0774;69,0000;69;13;3;22
305;13709,9221;37,0992;2,9797;66,0000;66;10;2;14
306;14336,0117;43,3601;3,0868;68,0000;68;13;3;24
307;15802,1328;58,0213;2,9701;73,0000;73;16;3;8
308;11675,5008;16,7550;5,8520;58,0000;58;6;6;32
309;15151,0631;51,5106;4,9010;71,0000;71;11;5;10
310;13405,5167;34,0552;2,9701;65,0000;65;8;3;14
311;11453,4799;14,5348;7,9906;57,0000;57;7;6;50
312;12948,5883;29,4859;5,8890;63,0000;63;13;6;26
313;13248,1142;32,4811;4,8733;64,0000;64;6;4;14
314;12372,8234;23,7282;5,8613;61,0000;61;8;4;18
315;14243,4991;42,4350;3,0975;68,0000;68;12;3;16
316;13135,2871;31,3529;5,0302;64,0000;64;7;3;28
317;13458,5893;34,5859;3,0142;65,0000;65;7;2;10
318;14063,7759;40,6378;3,9854;67,0000;67;11;3;19
319;13516,3638;35,1636;3,9404;65,0000;65;16;4;15
320;18151,4824;81,5148;1,9900;80,0000;80;11;2;4
321;12009,8508;20,0985;4,0421;59,0000;59;7;3;17
322;13085,5341;30,8553;7,0938;64,0000;64;9;3;36
323;12616,0158;26,1602;4,9605;62,0000;62;7;4;18
324;12931,2011;29,3120;3,0251;63,0000;63;5;3;24
325;12563,9027;25,6390;3,9483;62,0000;62;7;4;22
326;13156,7532;31,5675;5,8623;64,0000;64;10;5;17
327;14859,3479;48,5935;4,0292;70,0000;70;14;4;14
328;13116,2415;31,1624;8,5702;64,0000;64;8;6;40
329;13972,8475;39,7285;3,9458;67,0000;67;9;3;16
330;12663,3864;26,6339;7,7255;62,0000;62;6;8;14
331;11852,4495;18,5245;4,9217;59,0000;59;8;4;26
332;13439,7047;34,3970;4,0494;65,0000;65;10;4;16
